Designator,Mid X,Mid Y,Rotation,Layer
A1,154.13,-88.77,0.0,top
C1,127.32,-83.14,0.0,top
C2,131.03,-84.655,180.0,top
C3,129.13,-97.25,0.0,top
C4,135.505,-99.405,0.0,top
C5,138.31,-99.205,180.0,top
C6,140.05,-96.725,270.0,top
D1,129.3,-79.93,180.0,top
D2,136.62,-89.72,270.0,top
JP2,139.08,-104.74,270.0,top
L1,137.575,-80.79,0.0,top
LD1,163.04,-103.9975,90.0,top
LD2,127.71,-104.79,90.0,top
LD3,130.9,-104.77,90.0,top
R1,150.25,-105.45,270.0,top
R2,164.63,-104.62,90.0,top
R3,126.6975,-92.37,0.0,top
R4,130.2475,-92.35,0.0,top
R5,129.21,-105.33,90.0,top
R6,132.4,-105.38,90.0,top
U1,128.48,-88.25,0.0,top
U2,154.125,-86.145,0.0,top
U3,136.9425,-96.765,180.0,top
